item,sent_id,source,correct_sentence,correct_form,lemma,mutation_type,trigger_type,specific_trigger,token_id,prev_word,incorrect_form,incorrect_sentence,num_diffs
10,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",chapasiti,capasiti,AM,L,â,9.0,â,capasiti,"Y gred yw bod y system bresennol â capasiti i bweru tua 144,000 o gartrefi.",1
11,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bweru,pweru,SM,L,i,11.0,i,pweru,"Y gred yw bod y system bresennol â chapasiti i pweru tua 144,000 o gartrefi.",1
12,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",prosiect,prosiect,no_AM,no_mutation,no_mutation,2.0,Y,phrosiect,"Y phrosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",1
13,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",fydd,bod,SM,MS,relative_zero_trigger,16.0,Môn,bydd,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, bydd yn 660 erw o faint",1
14,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Fis,mis,SM,MS,adverb_time_place_manner,1.0,,Mis,"Mis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1
15,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",cyntaf,cyntaf,no_AM,no_mutation,no_mutation,12.0,tro,chyntaf,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro chyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1
16,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",gipiodd,cipio,SM,L,fe,4.0,fe,cipiodd,"Fis diwethaf fe cipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1
17,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Nghyngres,cyngres,NM,L,yng,21.0,yng,Cyngres,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Cyngres Europa y tymor nesaf.",1
18,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Gwpan,cwpan,SM,MS,direct_object_mutation,4.0,tîm,Cwpan,Enillodd y tîm Cwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1
19,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,ddechrau,dechrau,SM,MS,adverb_time_place_manner,7.0,Cymru,dechrau,Enillodd y tîm Gwpan Ieuenctid Cymru dechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1
20,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,chyn,cyn,AM,L,a,10.0,a,cyn,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a cyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1
21,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Cymru,Cymru,no_AM,no_mutation,no_mutation,6.0,Ieuenctid,Chymru,Enillodd y tîm Gwpan Ieuenctid Chymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1
22,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,gafodd,cael,SM,L,fe,15.0,fe,cafodd,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe cafodd y tîm merched eu coroni'n bencampwyr.,1
23,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,bencampwyr,pencampwr,SM,MS,yn_complement_adj_noun,21.0,coroni'n,pencampwyr,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n pencampwyr.,1
24,6,https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",fedal,medal,SM,MS,direct_object_mutation,4.0,enillodd,medal,"Yn 1911, enillodd medal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",1
25,6,https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",Frenhinol,brenhinol,SM,MS,fem_sing_noun_modifier,8.0,Academi,Brenhinol,"Yn 1911, enillodd fedal aur yr Academi Brenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",1
26,6,https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",pryd,pryd,no_AM,no_mutation,no_mutation,16.0,y,phryd,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y phryd, a'r cyntaf o Gymru",1
27,6,https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru",Gymru,Cymru,SM,L,o,20.0,o,Cymru,"Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Cymru",1
28,7,https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o,"Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei phenodi yn artist rhyfel.",phenodi,penodi,AM,L,ei,19.0,ei,penodi,"Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei penodi yn artist rhyfel.",1
29,8,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.,mhlentyndod,plentyndod,NM,L,fy,8.0,fy,plentyndod,Mae hwn yn fy atgoffa o fy plentyndod ac yn golygu lot i bobl leol hefyd.,1
30,8,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.,bobl,pobl,SM,L,i,14.0,i,pobl,Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i pobl leol hefyd.,1
31,8,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.,leol,lleol,SM,MS,fem_sing_noun_modifier,15.0,bobl,lleol,Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl lleol hefyd.,1
32,9,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,bws,bws,no_SM,no_mutation,no_mutation,14.0,gyrru,fws,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru fws ei hun.,1
33,9,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,Wnaeth,gwneud,SM,MS,inflected_zero_trigger,1.0,,Gwnaeth,Gwnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,1
34,9,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,wireddu,gwireddu,SM,MS,direct_object_mutation,3.0,Dafydd,gwireddu,Wnaeth Dafydd gwireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,1
35,9,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,phasio,pasio,AM,L,a,6.0,a,pasio,Wnaeth Dafydd wireddu breuddwyd a pasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,1
36,9,https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.,chael,cael,AM,L,a,12.0,a,cael,Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a cael gyrru bws ei hun.,1
37,10,https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo,"Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.",canolfan,canolfan,no_SM,no_mutation,no_mutation,16.0,agor,ganolfan,"Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor ganolfan newydd.",1
38,10,https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo,"Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.",tyfu,tyfu,no_AM,no_mutation,no_mutation,7.0,wedi,thyfu,"Mae prosiect Hwb y Gors wedi thyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.",1
39,10,https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo,"Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.",thyfu,tyfu,AM,L,a,9.0,a,tyfu,"Mae prosiect Hwb y Gors wedi tyfu a tyfu, ac maen nhw bellach wedi agor canolfan newydd.",1
40,11,https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo,Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.,poeni,poeni,no_SM,no_mutation,no_mutation,7.0,sy'n,boeni,Mae rhai wedi cwestiynu faint sy'n boeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.,1
41,11,https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo,Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.,chostau,cost,AM,L,gyda,14.0,gyda,costau,Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda costau byw'n dominyddu'r sgyrsiau.,1
42,12,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.,nwyrain,dwyrain,NM,L,yn,5.0,yn,dwyrain,Mae Capel Jewin yn dwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.,1
43,12,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.,gapeli,capeli,SM,L,ychydig,11.0,ychydig,capeli,Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig capeli Cymraeg sydd ar ôl yn y ddinas.,1
44,12,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.,ddinas,dinas,SM,MS,def_art_fem_sing_noun,18.0,y,dinas,Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y dinas.,1
45,13,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,luniau,llun,SM,MS,non_normal_word_order,3.0,na,lluniau,Mae 'na lluniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,1
46,13,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,cythryblus,cythyrblus,no_AM,no_mutation,no_mutation,6.0,orffennol,chythryblus,Mae 'na luniau o orffennol chythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,1
47,13,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,orffennol,gorffennol,SM,L,o,5.0,o,gorffennol,Mae 'na luniau o gorffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,1
48,13,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,gyflafan,cyflafan,SM,MS,def_art_fem_sing_noun,11.0,wedi'r,cyflafan,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r cyflafan fe godwyd capel arall.,1
49,13,https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.,godwyd,codwyd,SM,L,fe,13.0,fe,codwyd,Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe codwyd capel arall.,1
50,14,https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o,Bydd adrannau sydd â pherfformiad isel o ran y Gymraeg yn cael cynnig hyfforddiant ychwanegol.,pherfformiad,perfformiad,AM,L,â,5.0,â,perfformiad,Bydd adrannau sydd â perfformiad isel o ran y Gymraeg yn cael cynnig hyfforddiant ychwanegol.,1
51,15,https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o,Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.,Gymraeg,Cymraeg,SM,MS,def_art_fem_sing_noun,9.0,o'r,Cymraeg,Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Cymraeg ymysgn staff a chynghorwyr.,1
52,15,https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o,Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.,chynghorwyr,cynghorwyr,AM,L,a,13.0,a,cynghorwyr,Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a cynghorwyr.,1
53,16,https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo,"Mae gyda hi syndrom ofari polycystig (PCOS), sydd wedi cael effaith ar ei phwysau.",phwysau,pwysau,AM,L,ei,14.0,ei,pwysau,"Mae gyda hi syndrom ofari polycystig (PCOS), sydd wedi cael effaith ar ei pwysau.",1
54,17,https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo,Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.,dalu,talu,SM,MS,i_plus_NP,7.0,iddi,talu,Dywedodd Bethan nad yw'n ymarferol iddi talu am y driniaeth yn y tymor hir.,1
55,17,https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo,Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.,driniaeth,triniaeth,SM,MS,def_art_fem_sing_noun,10.0,y,triniaeth,Dywedodd Bethan nad yw'n ymarferol iddi dalu am y triniaeth yn y tymor hir.,1
56,18,https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o,Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.,gyfrifol,cyfrifol,SM,MS,yn_complement_adj_noun,3.0,e'n,cyfrifol,Oedd e'n cyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.,1
57,18,https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o,Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.,Phrifysgol,prifysgol,AM,L,â,11.0,â,Prifysgol,Oedd e'n gyfrifol am yr ymchwil ar y cyd â Prifysgol Abertawe.,1
58,19,https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o,Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.,gyhoeddi,cyhoeddi,SM,L,i,6.0,wedi'i,cyhoeddi,Mae ymchwil y tîm wedi'i cyhoeddi yng nghyfnodolyn Global Ecology and Conservation.,1
59,19,https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o,Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.,nghyfnodolyn,cyfnodolyn,NM,L,yng,8.0,yng,cyfnodolyn,Mae ymchwil y tîm wedi'i gyhoeddi yng cyfnodolyn Global Ecology and Conservation.,1
60,20,https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po,Mae strwythurau diogelu'r amgylchedd yng Ngwent wedi'u cryfhau.,Ngwent,Gwent,NM,L,yng,6.0,yng,Gwent,Mae strwythurau diogelu'r amgylchedd yng Gwent wedi'u cryfhau.,1
61,21,https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.,Blaid,plaid,SM,MS,def_art_fem_sing_noun,3.0,maniffesto'r,Plaid,Mae maniffesto'r Plaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.,1
62,21,https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.,chadw,cadw,AM,L,a,10.0,a,cadw,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a cadw yw'r flaenoriaeth.,1
63,21,https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.,cynnal,cynnal,no_AM,no_mutation,no_mutation,8.0,mai,chynnal,Mae maniffesto'r Blaid Werdd yn dweud mai chynnal a chadw yw'r flaenoriaeth.,1
64,21,https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.,flaenoriaeth,blaenoriaeth,SM,MS,def_art_fem_sing_noun,12.0,yw'r,blaenoriaeth,Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r blaenoriaeth.,1
65,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",gohebwyr,gohebwr,no_NM,no_mutation,no_mutation,17.0,anfon,ngohebwyr,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon ngohebwyr a chamerâu.",1
66,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",ddewis,dewis,SM,MS,i_plus_NP,11.0,golygyddion,dewis,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion dewis a dethol lle dylid anfon gohebwyr a chamerâu.",1
67,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",fod,bod,SM,L,gan,2.0,Gan,bod,"Gan bod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",1
68,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",chamerâu,camera,AM,L,a,19.0,a,camerâu,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a camerâu.",1
69,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,theledu,teledu,AM,L,a,7.0,a,teledu,Bydd gan y rhaglenni radio a teledu ohebwyr ym mhob etholaeth.,1
70,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,ohebwyr,gohebwr,SM,MS,non_normal_word_order,8.0,theledu,gohebwyr,Bydd gan y rhaglenni radio a theledu gohebwyr ym mhob etholaeth.,1
71,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,mhob,pobl,NM,L,ym,10.0,ym,pob,Bydd gan y rhaglenni radio a theledu ohebwyr ym pob etholaeth.,1
