,item,sent_id,source,correct_sentence,correct_form,lemma,mutation_type,trigger_type,specific_trigger,token_id,prev_word,incorrect_form,incorrect_sentence,num_diffs,incorrect_form_mut_type
10,3,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cael,cael,no_AM,no_mutation,no_mutation,5.0,yn,gael,"Oedd y fflam yn gael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,SM
11,3,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cael,cael,no_AM,no_mutation,no_mutation,5.0,yn,nghael,"Oedd y fflam yn nghael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,NM
12,4,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gymuned,cymuned,SM,MS,num_fem_sing_noun,10.0,un,cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,none
13,4,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gymuned,cymuned,SM,MS,num_fem_sing_noun,10.0,un,nghymuned,"Oedd y fflam yn cael ei phasio o un nghymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,NM
14,4,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gymuned,cymuned,SM,MS,num_fem_sing_noun,10.0,un,chymuned,"Oedd y fflam yn cael ei phasio o un chymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,AM
15,5,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",nghanol,canol,NM,L,yng,9.0,yng,canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,none
16,5,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",nghanol,canol,NM,L,yng,9.0,yng,ganol,"O'n ni yn rhan o'r ras oedd yng ganol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,SM
17,5,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",nghanol,canol,NM,L,yng,9.0,yng,chanol,"O'n ni yn rhan o'r ras oedd yng chanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,AM
18,6,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",rhan,rhan,no_SM,no_mutation,no_mutation,4.0,yn,ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,SM
19,7,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",wahodd,gwahodd,SM,MS,direct_object_mutation,15.0,nhw,gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,none
20,7,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",wahodd,gwahodd,SM,MS,direct_object_mutation,15.0,nhw,ngwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw ngwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1,NM
21,8,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",gred,cred,SM,MS,def_art_fem_sing_noun,2.0,Y,cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",1,none
22,8,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",gred,cred,SM,MS,def_art_fem_sing_noun,2.0,Y,nghred,"Y nghred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",1,NM
23,8,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",gred,cred,SM,MS,def_art_fem_sing_noun,2.0,Y,chred,"Y chred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",1,AM
24,9,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bresennol,presennol,SM,MS,fem_sing_noun_modifier,7.0,system,presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",1,none
25,9,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bresennol,presennol,SM,MS,fem_sing_noun_modifier,7.0,system,mhresennol,"Y gred yw bod y system mhresennol â chapasiti i bweru tua 144,000 o gartrefi.",1,NM
26,9,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bresennol,presennol,SM,MS,fem_sing_noun_modifier,7.0,system,phresennol,"Y gred yw bod y system phresennol â chapasiti i bweru tua 144,000 o gartrefi.",1,AM
27,10,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",chapasiti,capasiti,AM,L,â,9.0,â,capasiti,"Y gred yw bod y system bresennol â capasiti i bweru tua 144,000 o gartrefi.",1,none
28,10,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",chapasiti,capasiti,AM,L,â,9.0,â,gapasiti,"Y gred yw bod y system bresennol â gapasiti i bweru tua 144,000 o gartrefi.",1,SM
29,10,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",chapasiti,capasiti,AM,L,â,9.0,â,nghapasiti,"Y gred yw bod y system bresennol â nghapasiti i bweru tua 144,000 o gartrefi.",1,NM
30,11,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bweru,pweru,SM,L,i,11.0,i,pweru,"Y gred yw bod y system bresennol â chapasiti i pweru tua 144,000 o gartrefi.",1,none
31,11,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bweru,pweru,SM,L,i,11.0,i,mhweru,"Y gred yw bod y system bresennol â chapasiti i mhweru tua 144,000 o gartrefi.",1,NM
32,11,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bweru,pweru,SM,L,i,11.0,i,phweru,"Y gred yw bod y system bresennol â chapasiti i phweru tua 144,000 o gartrefi.",1,AM
33,12,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",prosiect,prosiect,no_AM,no_mutation,no_mutation,2.0,Y,phrosiect,"Y phrosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",1,AM
34,12,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",prosiect,prosiect,no_AM,no_mutation,no_mutation,2.0,Y,brosiect,"Y brosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",1,SM
35,12,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",prosiect,prosiect,no_AM,no_mutation,no_mutation,2.0,Y,mhrosiect,"Y mhrosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",1,NM
36,13,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",fydd,bod,SM,MS,relative_zero_trigger,16.0,Môn,bydd,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, bydd yn 660 erw o faint",1,none
37,13,3,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint",fydd,bod,SM,MS,relative_zero_trigger,16.0,Môn,mydd,"Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, mydd yn 660 erw o faint",1,NM
38,14,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Fis,mis,SM,MS,adverb_time_place_manner,1.0,,Mis,"Mis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,none
39,15,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",cyntaf,cyntaf,no_AM,no_mutation,no_mutation,12.0,tro,chyntaf,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro chyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,AM
40,15,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",cyntaf,cyntaf,no_AM,no_mutation,no_mutation,12.0,tro,gyntaf,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro gyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,SM
41,15,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",cyntaf,cyntaf,no_AM,no_mutation,no_mutation,12.0,tro,nghyntaf,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro nghyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,NM
42,16,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",gipiodd,cipio,SM,L,fe,4.0,fe,cipiodd,"Fis diwethaf fe cipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,none
43,16,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",gipiodd,cipio,SM,L,fe,4.0,fe,nghipiodd,"Fis diwethaf fe nghipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,NM
44,16,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",gipiodd,cipio,SM,L,fe,4.0,fe,chipiodd,"Fis diwethaf fe chipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",1,AM
45,17,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Nghyngres,cyngres,NM,L,yng,21.0,yng,Cyngres,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Cyngres Europa y tymor nesaf.",1,none
46,17,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Nghyngres,cyngres,NM,L,yng,21.0,yng,Gyngres,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Gyngres Europa y tymor nesaf.",1,SM
47,17,4,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.",Nghyngres,cyngres,NM,L,yng,21.0,yng,Chyngres,"Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Chyngres Europa y tymor nesaf.",1,AM
48,18,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Gwpan,cwpan,SM,MS,direct_object_mutation,4.0,tîm,Cwpan,Enillodd y tîm Cwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,none
49,18,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Gwpan,cwpan,SM,MS,direct_object_mutation,4.0,tîm,Nghwpan,Enillodd y tîm Nghwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,NM
50,18,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Gwpan,cwpan,SM,MS,direct_object_mutation,4.0,tîm,Chwpan,Enillodd y tîm Chwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,AM
51,19,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,ddechrau,dechrau,SM,MS,adverb_time_place_manner,7.0,Cymru,dechrau,Enillodd y tîm Gwpan Ieuenctid Cymru dechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,none
52,19,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,ddechrau,dechrau,SM,MS,adverb_time_place_manner,7.0,Cymru,nechrau,Enillodd y tîm Gwpan Ieuenctid Cymru nechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,NM
53,20,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,chyn,cyn,AM,L,a,10.0,a,cyn,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a cyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,none
54,20,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,chyn,cyn,AM,L,a,10.0,a,gyn,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a gyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,SM
55,20,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,chyn,cyn,AM,L,a,10.0,a,nghyn,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a nghyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,NM
56,21,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Cymru,Cymru,no_AM,no_mutation,no_mutation,6.0,Ieuenctid,Chymru,Enillodd y tîm Gwpan Ieuenctid Chymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,AM
57,21,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Cymru,Cymru,no_AM,no_mutation,no_mutation,6.0,Ieuenctid,Gymru,Enillodd y tîm Gwpan Ieuenctid Gymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,SM
58,21,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,Cymru,Cymru,no_AM,no_mutation,no_mutation,6.0,Ieuenctid,Nghymru,Enillodd y tîm Gwpan Ieuenctid Nghymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,1,NM
59,22,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,gafodd,cael,SM,L,fe,15.0,fe,cafodd,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe cafodd y tîm merched eu coroni'n bencampwyr.,1,none
60,22,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,gafodd,cael,SM,L,fe,15.0,fe,nghafodd,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe nghafodd y tîm merched eu coroni'n bencampwyr.,1,NM
61,22,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,gafodd,cael,SM,L,fe,15.0,fe,chafodd,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe chafodd y tîm merched eu coroni'n bencampwyr.,1,AM
62,23,5,https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.,bencampwyr,pencampwr,SM,MS,yn_complement_adj_noun,21.0,coroni'n,pencampwyr,Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n pencampwyr.,1,none
