"item","correct_sentence","incorrect_form_1","incorrect_form_2","incorrect_form_3","incorrect_sentence_1","incorrect_sentence_2","incorrect_sentence_3"
"5586","Gan mai pobl anaml ydym , yn preswylio parth bychan o Ynys Brydain.","Prydain","Mhrydain","Phrydain","Gan mai pobl anaml ydym , yn preswylio parth bychan o Ynys Prydain.","Gan mai pobl anaml ydym , yn preswylio parth bychan o Ynys Mhrydain.","Gan mai pobl anaml ydym , yn preswylio parth bychan o Ynys Phrydain."
"6094","Chymrodd hi monyn nhw.","Cymrodd","Gymrodd","Nghymrodd","Cymrodd hi monyn nhw.","Gymrodd hi monyn nhw.","Nghymrodd hi monyn nhw."
"6150","Mae cario ymlaen i fwynhau'r holl arian yna tra'n osgoi gwneud y gwaith (os galw beth maent yn ei wneud yn ""waith"") yn swnio fel trefniant cyfleus iawn i mi.","gwaith","ngwaith",NA,"Mae cario ymlaen i fwynhau'r holl arian yna tra'n osgoi gwneud y gwaith (os galw beth maent yn ei wneud yn ""gwaith"") yn swnio fel trefniant cyfleus iawn i mi.","Mae cario ymlaen i fwynhau'r holl arian yna tra'n osgoi gwneud y gwaith (os galw beth maent yn ei wneud yn ""ngwaith"") yn swnio fel trefniant cyfleus iawn i mi.",NA
"6269","Fydd fy nghyfnod i ar y bwrdd yn dod i ben cyn hir ond mae'r elusen yn mynd i gario mlaen ac yn mynd i fod yn ran mawr ohona fi am byth dwi'n meddwl.","rhan",NA,NA,"Fydd fy nghyfnod i ar y bwrdd yn dod i ben cyn hir ond mae'r elusen yn mynd i gario mlaen ac yn mynd i fod yn rhan mawr ohona fi am byth dwi'n meddwl.",NA,NA
"6496","Mae gymaint o rolau gwahanol o fewn pêl-droed, dim jest bod yn chwaraewr neu gefnogwr, ac mae'n hyfryd i weld y llwybr yna (o fynd i'r byd dyfarnu ar ôl chwarae'r gêm) yn cael y sylw hefyd.","cymaint","nghymaint","chymaint","Mae cymaint o rolau gwahanol o fewn pêl-droed, dim jest bod yn chwaraewr neu gefnogwr, ac mae'n hyfryd i weld y llwybr yna (o fynd i'r byd dyfarnu ar ôl chwarae'r gêm) yn cael y sylw hefyd.","Mae nghymaint o rolau gwahanol o fewn pêl-droed, dim jest bod yn chwaraewr neu gefnogwr, ac mae'n hyfryd i weld y llwybr yna (o fynd i'r byd dyfarnu ar ôl chwarae'r gêm) yn cael y sylw hefyd.","Mae chymaint o rolau gwahanol o fewn pêl-droed, dim jest bod yn chwaraewr neu gefnogwr, ac mae'n hyfryd i weld y llwybr yna (o fynd i'r byd dyfarnu ar ôl chwarae'r gêm) yn cael y sylw hefyd."
"7038","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad glir am estyn Safonau i'r sector breifat, megis cwmnïau'r stryd fawr.","preifat","mhreifat","phreifat","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad glir am estyn Safonau i'r sector preifat, megis cwmnïau'r stryd fawr.","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad glir am estyn Safonau i'r sector mhreifat, megis cwmnïau'r stryd fawr.","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad glir am estyn Safonau i'r sector phreifat, megis cwmnïau'r stryd fawr."
"25","Yn benodol, mae'r Cyngor yn awyddus i glywed gan wirfoddolwyr allai helpu trwy fynd â phlentyn allan am y diwrnod, mynd gyda theulu ar eu taith siopa wythnosol neu hyd yn oed gynnig gymorth yn y cartref teuluol.","cymorth","nghymorth","chymorth","Yn benodol, mae'r Cyngor yn awyddus i glywed gan wirfoddolwyr allai helpu trwy fynd â phlentyn allan am y diwrnod, mynd gyda theulu ar eu taith siopa wythnosol neu hyd yn oed gynnig cymorth yn y cartref teuluol.","Yn benodol, mae'r Cyngor yn awyddus i glywed gan wirfoddolwyr allai helpu trwy fynd â phlentyn allan am y diwrnod, mynd gyda theulu ar eu taith siopa wythnosol neu hyd yn oed gynnig nghymorth yn y cartref teuluol.","Yn benodol, mae'r Cyngor yn awyddus i glywed gan wirfoddolwyr allai helpu trwy fynd â phlentyn allan am y diwrnod, mynd gyda theulu ar eu taith siopa wythnosol neu hyd yn oed gynnig chymorth yn y cartref teuluol."
"208","Fel mae rhai sy'n fy nabod i'n bersonol yn gwbod, wnes i symud i fyw i Gaerdydd ar ddiwedd fis Medi eleni.","mis",NA,NA,"Fel mae rhai sy'n fy nabod i'n bersonol yn gwbod, wnes i symud i fyw i Gaerdydd ar ddiwedd mis Medi eleni.",NA,NA
"529","Wedi 20 mlynedd o ddatganoli, pam er mwyn popeth y mae Cymru'n dlotach o'i chymharu â gweddill y DU, nag a fu erioed?","cymharu","gymharu","nghymharu","Wedi 20 mlynedd o ddatganoli, pam er mwyn popeth y mae Cymru'n dlotach o'i cymharu â gweddill y DU, nag a fu erioed?","Wedi 20 mlynedd o ddatganoli, pam er mwyn popeth y mae Cymru'n dlotach o'i gymharu â gweddill y DU, nag a fu erioed?","Wedi 20 mlynedd o ddatganoli, pam er mwyn popeth y mae Cymru'n dlotach o'i nghymharu â gweddill y DU, nag a fu erioed?"
"546","Pa gantores bop Gymraeg a Chernyweg a fagwyd yn Despenser Street?","Cymraeg","Nghymraeg","Chymraeg","Pa gantores bop Cymraeg a Chernyweg a fagwyd yn Despenser Street?","Pa gantores bop Nghymraeg a Chernyweg a fagwyd yn Despenser Street?","Pa gantores bop Chymraeg a Chernyweg a fagwyd yn Despenser Street?"
"715","Mae Eryri yn le gwych i ddod i gerdded ac mae gennym rwydwaith o lwybrau ar gyfer pobl o bob gallu.","lle",NA,NA,"Mae Eryri yn lle gwych i ddod i gerdded ac mae gennym rwydwaith o lwybrau ar gyfer pobl o bob gallu.",NA,NA
"718","Byddech yn cael maddeuant am feddwl na all Eryri ond gael eu fwynhau yn iawn yn yr haf; wedi'r cyfan, dyna pan fydd y tywydd yn debygol o fod yn well (yn ddamcaniaethol o leiaf!).","mwynhau",NA,NA,"Byddech yn cael maddeuant am feddwl na all Eryri ond gael eu mwynhau yn iawn yn yr haf; wedi'r cyfan, dyna pan fydd y tywydd yn debygol o fod yn well (yn ddamcaniaethol o leiaf!).",NA,NA
"1874","Heibio i dafarn y Mulberry a safle garafanau foethus Aberconwy.","carafanau","ngharafanau","charafanau","Heibio i dafarn y Mulberry a safle carafanau foethus Aberconwy.","Heibio i dafarn y Mulberry a safle ngharafanau foethus Aberconwy.","Heibio i dafarn y Mulberry a safle charafanau foethus Aberconwy."
"1924","Mae'r fersiwn cyntaf hwn i'w weld yn y Llyfrgell Genedlaethol.","gweld","ngweld",NA,"Mae'r fersiwn cyntaf hwn i'w gweld yn y Llyfrgell Genedlaethol.","Mae'r fersiwn cyntaf hwn i'w ngweld yn y Llyfrgell Genedlaethol.",NA
"2316","Coronodd ei yrfa focsio wych drwy ennill ei chweched ornest a deugain yn olynol.","bocsio","mocsio",NA,"Coronodd ei yrfa bocsio wych drwy ennill ei chweched ornest a deugain yn olynol.","Coronodd ei yrfa mocsio wych drwy ennill ei chweched ornest a deugain yn olynol.",NA
"3568","Er enghraifft dyna i ni Gavin Williamson, pan oedd yn Weinidog Amddiffyn yn egluro wrthym syniad mor dda fyddai anfon llongau rhyfel i For De China yn dilyn Brexit.","Mor",NA,NA,"Er enghraifft dyna i ni Gavin Williamson, pan oedd yn Weinidog Amddiffyn yn egluro wrthym syniad mor dda fyddai anfon llongau rhyfel i Mor De China yn dilyn Brexit.",NA,NA
"3801","Nid yw'n cynnwys gormod o gymhlethdod nac amrywiadau llafar, felly mae'r dull yn addas i bron unrhyw ddysgwr cyhyd ag y gwŷr ychydig dermau gramadegol.","termau","nhermau","thermau","Nid yw'n cynnwys gormod o gymhlethdod nac amrywiadau llafar, felly mae'r dull yn addas i bron unrhyw ddysgwr cyhyd ag y gwŷr ychydig termau gramadegol.","Nid yw'n cynnwys gormod o gymhlethdod nac amrywiadau llafar, felly mae'r dull yn addas i bron unrhyw ddysgwr cyhyd ag y gwŷr ychydig nhermau gramadegol.","Nid yw'n cynnwys gormod o gymhlethdod nac amrywiadau llafar, felly mae'r dull yn addas i bron unrhyw ddysgwr cyhyd ag y gwŷr ychydig thermau gramadegol."
"4375","Dydy hyn ddim yn fater yn erbyn unigolion, mae'n egwyddor y dyliau staff sefydliad sy'n fonopoli gwladol fel Swyddfa'r Post, ddeall peth geiriau syml Cymraeg ac yn enwedig rhai sylfaenol yn eu busnes.","monopoli",NA,NA,"Dydy hyn ddim yn fater yn erbyn unigolion, mae'n egwyddor y dyliau staff sefydliad sy'n monopoli gwladol fel Swyddfa'r Post, ddeall peth geiriau syml Cymraeg ac yn enwedig rhai sylfaenol yn eu busnes.",NA,NA
"4906","Mewn partneriaeth â Chelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Gelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Celfyddydau","Nghelfyddydau","Chelfyddydau","Mewn partneriaeth â Chelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Celfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Mewn partneriaeth â Chelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Nghelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Mewn partneriaeth â Chelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Chelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru."
"5264","Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos fod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rai milflynyddau Cyn Crist.","rhai",NA,NA,"Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos fod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rhai milflynyddau Cyn Crist.",NA,NA
"5540","Pa gantores bop Gymraeg a Chernyweg a fagwyd yn Despenser St?","Cymraeg","Nghymraeg","Chymraeg","Pa gantores bop Cymraeg a Chernyweg a fagwyd yn Despenser St?","Pa gantores bop Nghymraeg a Chernyweg a fagwyd yn Despenser St?","Pa gantores bop Chymraeg a Chernyweg a fagwyd yn Despenser St?"
"5726","Ond mwynheais y gyngerdd, wrth gwrs – does dim teimlad gwell na chwarae darn gwych o gerddoriaeth i gynulleidfa.","cyngerdd","nghyngerdd","chyngerdd","Ond mwynheais y cyngerdd, wrth gwrs – does dim teimlad gwell na chwarae darn gwych o gerddoriaeth i gynulleidfa.","Ond mwynheais y nghyngerdd, wrth gwrs – does dim teimlad gwell na chwarae darn gwych o gerddoriaeth i gynulleidfa.","Ond mwynheais y chyngerdd, wrth gwrs – does dim teimlad gwell na chwarae darn gwych o gerddoriaeth i gynulleidfa."
"5823","Dalodd e mo'r bil.","Talodd","Nhalodd","Thalodd","Talodd e mo'r bil.","Nhalodd e mo'r bil.","Thalodd e mo'r bil."
"6049","Pinacl tua thair blynedd o waith caled gan wirfoddolwyr o'r ardal leol yw wythnos Eisteddfod yr Urdd.","tair","dair","nhair","Pinacl tua tair blynedd o waith caled gan wirfoddolwyr o'r ardal leol yw wythnos Eisteddfod yr Urdd.","Pinacl tua dair blynedd o waith caled gan wirfoddolwyr o'r ardal leol yw wythnos Eisteddfod yr Urdd.","Pinacl tua nhair blynedd o waith caled gan wirfoddolwyr o'r ardal leol yw wythnos Eisteddfod yr Urdd."
"6145","Ynys Môn yw un o'r llefydd mwyaf poblogaidd gan ymwelwyr sy'n dod i ogledd Cymru, yn bennaf oherwydd y milltiroedd o draethau a llwybrau arfordirol a cheir yno.","ceir","geir","ngheir","Ynys Môn yw un o'r llefydd mwyaf poblogaidd gan ymwelwyr sy'n dod i ogledd Cymru, yn bennaf oherwydd y milltiroedd o draethau a llwybrau arfordirol a ceir yno.","Ynys Môn yw un o'r llefydd mwyaf poblogaidd gan ymwelwyr sy'n dod i ogledd Cymru, yn bennaf oherwydd y milltiroedd o draethau a llwybrau arfordirol a geir yno.","Ynys Môn yw un o'r llefydd mwyaf poblogaidd gan ymwelwyr sy'n dod i ogledd Cymru, yn bennaf oherwydd y milltiroedd o draethau a llwybrau arfordirol a ngheir yno."
"6442","Bydd gradd yn y Gymraeg yn rhoi'r cyfle i mi wella fy hyder o ran ysgrifennu gan gynnig cyfleoedd i mi ar gyfer y dyfodol ac yn sicr bydd yr arian yn fy nghefnogi i dros y dair blynedd nesaf.","tair","nhair","thair","Bydd gradd yn y Gymraeg yn rhoi'r cyfle i mi wella fy hyder o ran ysgrifennu gan gynnig cyfleoedd i mi ar gyfer y dyfodol ac yn sicr bydd yr arian yn fy nghefnogi i dros y tair blynedd nesaf.","Bydd gradd yn y Gymraeg yn rhoi'r cyfle i mi wella fy hyder o ran ysgrifennu gan gynnig cyfleoedd i mi ar gyfer y dyfodol ac yn sicr bydd yr arian yn fy nghefnogi i dros y nhair blynedd nesaf.","Bydd gradd yn y Gymraeg yn rhoi'r cyfle i mi wella fy hyder o ran ysgrifennu gan gynnig cyfleoedd i mi ar gyfer y dyfodol ac yn sicr bydd yr arian yn fy nghefnogi i dros y thair blynedd nesaf."
"6538","Sylfaenol iawn oedd yr adnoddau yn y gwersyll ar y dechrau, er hynny doedd dim trafferth denu cenedlaethau o blant a phobl ifanc a dyrrai yno i gymryd rhan yng ngweithgareddau awyr agored ar Lyn Tegid, ar y mynyddoedd o gwmpas ac wrth gwrs i wneud ffrindiau newydd o bob cwr o Gymru.","Llyn",NA,NA,"Sylfaenol iawn oedd yr adnoddau yn y gwersyll ar y dechrau, er hynny doedd dim trafferth denu cenedlaethau o blant a phobl ifanc a dyrrai yno i gymryd rhan yng ngweithgareddau awyr agored ar Llyn Tegid, ar y mynyddoedd o gwmpas ac wrth gwrs i wneud ffrindiau newydd o bob cwr o Gymru.",NA,NA
"6548","Nid ydym wedi mynd ati i gyhoeddi cân ""Geltaidd"" draddodiadol.","traddodiadol","nhraddodiadol","thraddodiadol","Nid ydym wedi mynd ati i gyhoeddi cân ""Geltaidd"" traddodiadol.","Nid ydym wedi mynd ati i gyhoeddi cân ""Geltaidd"" nhraddodiadol.","Nid ydym wedi mynd ati i gyhoeddi cân ""Geltaidd"" thraddodiadol."
"6711","Cynnes braf felly ar bnawn o Wanwyn.","Gwanwyn","Ngwanwyn",NA,"Cynnes braf felly ar bnawn o Gwanwyn.","Cynnes braf felly ar bnawn o Ngwanwyn.",NA
"50","Angharad Lee, cyfarwyddwraig flaenllaw o fro'r Eisteddfod, sy'n gyfrifol am lwyfannu'r sioe, a hithau wedi gweithio ar nifer o brosiectau mawr yr Eisteddfod dros y blynyddoedd diwethaf.","blaenllaw","mlaenllaw",NA,"Angharad Lee, cyfarwyddwraig blaenllaw o fro'r Eisteddfod, sy'n gyfrifol am lwyfannu'r sioe, a hithau wedi gweithio ar nifer o brosiectau mawr yr Eisteddfod dros y blynyddoedd diwethaf.","Angharad Lee, cyfarwyddwraig mlaenllaw o fro'r Eisteddfod, sy'n gyfrifol am lwyfannu'r sioe, a hithau wedi gweithio ar nifer o brosiectau mawr yr Eisteddfod dros y blynyddoedd diwethaf.",NA
"182","Dyma'r bachgen y cafodd ei thad ei ladd.","tad","dad","nhad","Dyma'r bachgen y cafodd ei tad ei ladd.","Dyma'r bachgen y cafodd ei dad ei ladd.","Dyma'r bachgen y cafodd ei nhad ei ladd."
"266","""Mae'n ymdriniaeth dawel a sensitif â'r hyn sydd yn rhaid ei wneud i helpu'r fam barhau i fyw'n urddasol wrth i'w chof hi ddadfeilio,"" meddai.","cof","gof","nghof","""Mae'n ymdriniaeth dawel a sensitif â'r hyn sydd yn rhaid ei wneud i helpu'r fam barhau i fyw'n urddasol wrth i'w cof hi ddadfeilio,"" meddai.","""Mae'n ymdriniaeth dawel a sensitif â'r hyn sydd yn rhaid ei wneud i helpu'r fam barhau i fyw'n urddasol wrth i'w gof hi ddadfeilio,"" meddai.","""Mae'n ymdriniaeth dawel a sensitif â'r hyn sydd yn rhaid ei wneud i helpu'r fam barhau i fyw'n urddasol wrth i'w nghof hi ddadfeilio,"" meddai."
"535","Cafodd y gyngerdd ei recordio – pe baech chi, am ryw reswm, eisiau gwrando ac esgus eich bod chi yno, croeso i chi wneud yma.","cyngerdd","nghyngerdd","chyngerdd","Cafodd y cyngerdd ei recordio – pe baech chi, am ryw reswm, eisiau gwrando ac esgus eich bod chi yno, croeso i chi wneud yma.","Cafodd y nghyngerdd ei recordio – pe baech chi, am ryw reswm, eisiau gwrando ac esgus eich bod chi yno, croeso i chi wneud yma.","Cafodd y chyngerdd ei recordio – pe baech chi, am ryw reswm, eisiau gwrando ac esgus eich bod chi yno, croeso i chi wneud yma."
"677","Cawsom ni'n tair groeso gwresog yng Ngaiman ac ar ein diwrnod cyntaf fe gawson ni asado, gwledd genedlaethol yr Ariannin, maent yn falch iawn ohono.","croeso","nghroeso","chroeso","Cawsom ni'n tair croeso gwresog yng Ngaiman ac ar ein diwrnod cyntaf fe gawson ni asado, gwledd genedlaethol yr Ariannin, maent yn falch iawn ohono.","Cawsom ni'n tair nghroeso gwresog yng Ngaiman ac ar ein diwrnod cyntaf fe gawson ni asado, gwledd genedlaethol yr Ariannin, maent yn falch iawn ohono.","Cawsom ni'n tair chroeso gwresog yng Ngaiman ac ar ein diwrnod cyntaf fe gawson ni asado, gwledd genedlaethol yr Ariannin, maent yn falch iawn ohono."
"704","Yr wahaniaeth rhwng eu gwaith nhw a gwaith Mendeleev oedd ei lwyddiant wrth ragfynegi priodweddau elfennau newydd.","gwahaniaeth","ngwahaniaeth",NA,"Yr gwahaniaeth rhwng eu gwaith nhw a gwaith Mendeleev oedd ei lwyddiant wrth ragfynegi priodweddau elfennau newydd.","Yr ngwahaniaeth rhwng eu gwaith nhw a gwaith Mendeleev oedd ei lwyddiant wrth ragfynegi priodweddau elfennau newydd.",NA
"888","Mae o newydd weithio.","gweithio","ngweithio",NA,"Mae o newydd gweithio.","Mae o newydd ngweithio.",NA
"1093","Mae Llety Arall, menter gymunedol yn Dre wedi trefnu gig i leddfu'r hiraeth sydd gan bobol yr ardal am yr Eisteddfod Genedlaethol.","cymunedol","nghymunedol","chymunedol","Mae Llety Arall, menter cymunedol yn Dre wedi trefnu gig i leddfu'r hiraeth sydd gan bobol yr ardal am yr Eisteddfod Genedlaethol.","Mae Llety Arall, menter nghymunedol yn Dre wedi trefnu gig i leddfu'r hiraeth sydd gan bobol yr ardal am yr Eisteddfod Genedlaethol.","Mae Llety Arall, menter chymunedol yn Dre wedi trefnu gig i leddfu'r hiraeth sydd gan bobol yr ardal am yr Eisteddfod Genedlaethol."
"1165","Oedd mrawd i'n sôn am hyn wrthot ti neithiwr.","brawd","frawd",NA,"Oedd brawd i'n sôn am hyn wrthot ti neithiwr.","Oedd frawd i'n sôn am hyn wrthot ti neithiwr.",NA
"1288","""Fe wyliais i araith y prif weinidog y prynhawn yma,"" meddai, cyn ychwanegu nad oedd ""eglurder mawr na manylion o unrhyw fath yn ei araith"".","gwyliais","ngwyliais",NA,"""Fe gwyliais i araith y prif weinidog y prynhawn yma,"" meddai, cyn ychwanegu nad oedd ""eglurder mawr na manylion o unrhyw fath yn ei araith"".","""Fe ngwyliais i araith y prif weinidog y prynhawn yma,"" meddai, cyn ychwanegu nad oedd ""eglurder mawr na manylion o unrhyw fath yn ei araith"".",NA
"1759","Mae'r chwith yn gywir i fynnu bod y mudiad cenedlaethol yng Nghymru'n bod yn ofalus a manwl ynghylch ei chynlluniau, ond maent wedi bod yn rhyfeddol o ddi-hid am fater mwyaf argyfyngus ein hanes diweddar.","cynlluniau","gynlluniau","nghynlluniau","Mae'r chwith yn gywir i fynnu bod y mudiad cenedlaethol yng Nghymru'n bod yn ofalus a manwl ynghylch ei cynlluniau, ond maent wedi bod yn rhyfeddol o ddi-hid am fater mwyaf argyfyngus ein hanes diweddar.","Mae'r chwith yn gywir i fynnu bod y mudiad cenedlaethol yng Nghymru'n bod yn ofalus a manwl ynghylch ei gynlluniau, ond maent wedi bod yn rhyfeddol o ddi-hid am fater mwyaf argyfyngus ein hanes diweddar.","Mae'r chwith yn gywir i fynnu bod y mudiad cenedlaethol yng Nghymru'n bod yn ofalus a manwl ynghylch ei nghynlluniau, ond maent wedi bod yn rhyfeddol o ddi-hid am fater mwyaf argyfyngus ein hanes diweddar."
"1813","Nid y fi oedd yn glaf ond fy Mam a Nhad, a dderbyniodd ddiagnosis canser o fewn misoedd i'w gilydd.","Tad","Dad","Thad","Nid y fi oedd yn glaf ond fy Mam a Tad, a dderbyniodd ddiagnosis canser o fewn misoedd i'w gilydd.","Nid y fi oedd yn glaf ond fy Mam a Dad, a dderbyniodd ddiagnosis canser o fewn misoedd i'w gilydd.","Nid y fi oedd yn glaf ond fy Mam a Thad, a dderbyniodd ddiagnosis canser o fewn misoedd i'w gilydd."
"2017","Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a gadwodd Thomas i ffwrdd o ardaloedd diwydiannol y ddinas.","cadwodd","nghadwodd","chadwodd","Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a cadwodd Thomas i ffwrdd o ardaloedd diwydiannol y ddinas.","Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a nghadwodd Thomas i ffwrdd o ardaloedd diwydiannol y ddinas.","Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a chadwodd Thomas i ffwrdd o ardaloedd diwydiannol y ddinas."
"2337","Phrynan nhw mono fo.","Prynan","Brynan","Mhrynan","Prynan nhw mono fo.","Brynan nhw mono fo.","Mhrynan nhw mono fo."
