model;index;sentence_id;item;correct_form;correct_sentence;mutation_type;trigger_type;specific_trigger;incorrect_form;incorrect_sentence;incorrect_form_mut_type;correct_nll_mean;incorrect_nll_mean;delta;accuracy;nll_distance;layer_nll_correct;layer_nll_incorrect
goldfish-models/cym_latn_5mb;10;2;10;chapasiti;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;AM;L;â;capasiti;Y gred yw bod y system bresennol â capasiti i bweru tua 144,000 o gartrefi.;no_mutation;5,33698142437558;5,60520836379793;2,68226939422346e-01;1;2,45130951495878e-02;[10.814636130081979, 10.219337463378906, 9.54514475872642, 8.94565278605411, 5.336981424375584];[10.804873943328857, 10.229168679979113, 9.500814782248604, 8.903834475411308, 5.60520836379793]
goldfish-models/cym_latn_5mb;11;2;11;bweru;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;SM;L;i;pweru;Y gred yw bod y system bresennol â chapasiti i pweru tua 144,000 o gartrefi.;no_mutation;5,33698142437558;5,54892609307641;2,11944668700821e-01;1;1,94696370845551e-02;[10.814636130081979, 10.219337463378906, 9.54514475872642, 8.94565278605411, 5.336981424375584];[10.813760908026444, 10.22289416664525, 9.584512183540745, 9.043352729395815, 5.548926093076405]
goldfish-models/cym_latn_5mb;12;3;12;prosiect;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;no_mutation;no_mutation;no_mutation;phrosiect;Y phrosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;AM;6,57596354640048;6,69370504565861;1,17741499258124e-01;1;8,87297964084677e-03;[10.7916609307994, 10.438557624816895, 9.772240680197012, 9.21138622449792, 6.575963546400485];[10.797337946684465, 10.474928275398586, 9.777650501417076, 9.199871394945228, 6.693705045658609]
goldfish-models/cym_latn_5mb;13;3;13;fydd;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;SM;MS;relative_zero_trigger;bydd;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, bydd yn 660 erw o faint;no_mutation;6,57596354640048;6,55992591381073;-1,60376325897547e-02;0;0,00000000000000e+00;[10.7916609307994, 10.438557624816895, 9.772240680197012, 9.21138622449792, 6.575963546400485];[10.790588793547258, 10.430721531743588, 9.777398067971934, 9.226073866305144, 6.55992591381073]
goldfish-models/cym_latn_5mb;14;4;14;Fis;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;SM;MS;adverb_time_place_manner;Mis;Mis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;no_mutation;5,06086791027337;5,03276686370373;-2,81010465696454e-02;0;0,00000000000000e+00;[10.767777025699615, 10.337600499391556, 9.71188399195671, 9.157664701342583, 5.060867910273373];[10.76719257235527, 10.29926684498787, 9.672292053699493, 9.107288360595703, 5.032766863703728]
goldfish-models/cym_latn_5mb;15;4;15;cyntaf;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;no_mutation;no_mutation;no_mutation;chyntaf;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro chyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;AM;5,06086791027337;5,66211837168896;6,01250461415585e-01;1;5,60711769655975e-02;[10.767777025699615, 10.337600499391556, 9.71188399195671, 9.157664701342583, 5.060867910273373];[10.78150379296505, 10.409160787409002, 9.824311458703244, 9.3068841009429, 5.662118371688958]
goldfish-models/cym_latn_5mb;16;4;16;gipiodd;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;SM;L;fe;cipiodd;Fis diwethaf fe cipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;no_mutation;5,06086791027337;5,24836111161858;1,87493201345205e-01;1;1,81869275526869e-02;[10.767777025699615, 10.337600499391556, 9.71188399195671, 9.157664701342583, 5.060867910273373];[10.769346594810486, 10.35660982131958, 9.76951014995575, 9.252282947301865, 5.248361111618578]
goldfish-models/cym_latn_5mb;17;4;17;Nghyngres;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;NM;L;yng;Cyngres;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Cyngres Europa y tymor nesaf.;no_mutation;5,06086791027337;5,38837153930217;3,27503629028797e-01;1;3,13423412880161e-02;[10.767777025699615, 10.337600499391556, 9.71188399195671, 9.157664701342583, 5.060867910273373];[10.76637265086174, 10.369302719831467, 9.770744621753693, 9.249144405126572, 5.38837153930217]
goldfish-models/cym_latn_5mb;18;5;18;Gwpan;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;SM;MS;direct_object_mutation;Cwpan;Enillodd y tîm Cwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;no_mutation;5,37097189227740;5,21933400034905;-1,51637891928354e-01;0;0,00000000000000e+00;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.77612346013387, 10.372560755411785, 9.686483891805013, 9.105640570322672, 5.219334000349045]
goldfish-models/cym_latn_5mb;19;5;19;ddechrau;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;SM;MS;adverb_time_place_manner;dechrau;Enillodd y tîm Gwpan Ieuenctid Cymru dechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;no_mutation;5,37097189227740;5,41049533089002;3,95234386126200e-02;1;3,66586827140669e-03;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.773939418792725, 10.360540262858073, 9.707446988423666, 9.17020287513733, 5.410495330890019]
goldfish-models/cym_latn_5mb;20;5;20;chyn;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;AM;L;a;cyn;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a cyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;no_mutation;5,37097189227740;5,36209441721439;-8,87747506300584e-03;0;0,00000000000000e+00;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.766289202372233, 10.35748357772827, 9.69093443552653, 9.150613657633464, 5.362094417214394]
goldfish-models/cym_latn_5mb;21;5;21;Cymru;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;no_mutation;no_mutation;no_mutation;Chymru;Enillodd y tîm Gwpan Ieuenctid Chymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;AM;5,37097189227740;5,76848197678725;3,97510084509849e-01;1;3,56848808911335e-02;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.782135073343913, 10.37767972946167, 9.744656213124593, 9.239482466379801, 5.768481976787249]
goldfish-models/cym_latn_5mb;22;5;22;gafodd;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;SM;L;fe;cafodd;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe cafodd y tîm merched eu coroni'n bencampwyr.;no_mutation;5,37097189227740;5,45184912880262;8,08772365252182e-02;1;7,47284246572044e-03;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.773168468475342, 10.369561513264975, 9.717937692006428, 9.176763820648194, 5.451849128802618]
goldfish-models/cym_latn_5mb;23;5;23;bencampwyr;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;SM;MS;yn_complement_adj_noun;pencampwyr;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n pencampwyr.;no_mutation;5,37097189227740;5,59221549075225;2,21243598474854e-01;1;2,01805908031204e-02;[10.776738421122234, 10.366505750020345, 9.700881576538086, 9.157516558965048, 5.3709718922773995];[10.786466466969458, 10.38655715153135, 9.71815303276325, 9.179310683546396, 5.592215490752253]
goldfish-models/cym_latn_5mb;24;6;24;fedal;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;SM;MS;direct_object_mutation;medal;Yn 1911, enillodd medal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;no_mutation;5,11993032006117;5,22187553231533;1,01945212254157e-01;1;9,85758326054154e-03;[10.764581276820255, 10.450631361741285, 9.666112936460054, 8.933052191367516, 5.1199303200611705];[10.76436211512639, 10.474774617415209, 9.691798833700327, 8.962075471878052, 5.221875532315328]
goldfish-models/cym_latn_5mb;25;6;25;Frenhinol;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;SM;MS;fem_sing_noun_modifier;Brenhinol;Yn 1911, enillodd fedal aur yr Academi Brenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;no_mutation;5,11993032006117;5,09591235908178;-2,40179609793891e-02;0;0,00000000000000e+00;[10.764581276820255, 10.450631361741285, 9.666112936460054, 8.933052191367516, 5.1199303200611705];[10.764537151043232, 10.452170298649715, 9.678375060741718, 8.965507397284874, 5.095912359081781]
goldfish-models/cym_latn_5mb;26;6;26;pryd;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;no_mutation;no_mutation;no_mutation;phryd;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y phryd, a'r cyntaf o Gymru;AM;5,11993032006117;5,47580692515923;3,55876605098064e-01;1;3,35867714404295e-02;[10.764581276820255, 10.450631361741285, 9.666112936460054, 8.933052191367516, 5.1199303200611705];[10.774403425363394, 10.483701632573055, 9.741644125718336, 9.047912029119638, 5.475806925159234]
goldfish-models/cym_latn_5mb;27;6;27;Gymru;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;SM;L;o;Cymru;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Cymru;no_mutation;5,11993032006117;5,31407920901592;1,94148888954749e-01;1;1,86073137477690e-02;[10.764581276820255, 10.450631361741285, 9.666112936460054, 8.933052191367516, 5.1199303200611705];[10.754829956935001, 10.462198991041918, 9.692569732666016, 8.986656977580143, 5.31407920901592]
goldfish-models/cym_latn_5mb;28;7;28;phenodi;Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei phenodi yn artist rhyfel.;AM;L;ei;penodi;Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei penodi yn artist rhyfel.;no_mutation;5,01065859645605;5,10523986667395;9,45812702178950e-02;1;9,34976468601578e-03;[10.771343994140626, 10.372192255655925, 9.672394561767579, 9.011211506525676, 5.010658596456051];[10.766090806325277, 10.377544021606445, 9.691726112365723, 9.04803916613261, 5.105239866673946]
goldfish-models/cym_latn_5mb;29;8;29;mhlentyndod;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;NM;L;fy;plentyndod;Mae hwn yn fy atgoffa o fy plentyndod ac yn golygu lot i bobl leol hefyd.;no_mutation;4,60207553913719;4,95556810498238;3,53492565845189e-01;1;3,69853259869841e-02;[10.734723442479185, 10.332614748101486, 9.469873880085192, 8.647583108199271, 4.6020755391371875];[10.737648063235813, 10.37298091252645, 9.531782839033339, 8.713301632139418, 4.955568104982376]
goldfish-models/cym_latn_5mb;30;8;30;bobl;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;SM;L;i;pobl;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i pobl leol hefyd.;no_mutation;4,60207553913719;4,79037363278238;1,88298093645196e-01;1;2,00478160912648e-02;[10.734723442479185, 10.332614748101486, 9.469873880085192, 8.647583108199271, 4.6020755391371875];[10.726471047652396, 10.345395238775955, 9.506973116021408, 8.698233704817923, 4.790373632782384]
goldfish-models/cym_latn_5mb;31;8;31;leol;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;SM;MS;fem_sing_noun_modifier;lleol;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl lleol hefyd.;no_mutation;4,60207553913719;4,70551392906590;1,03438389928717e-01;1;1,11133382367247e-02;[10.734723442479185, 10.332614748101486, 9.469873880085192, 8.647583108199271, 4.6020755391371875];[10.73164493159244, 10.348122546547337, 9.505271610460783, 8.703709200808877, 4.705513929065905]
goldfish-models/cym_latn_5mb;32;9;32;bws;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;no_mutation;no_mutation;no_mutation;fws;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru fws ei hun.;SM;7,57522941629092;7,62716522978412;5,19358134931984e-02;1;3,41629162393886e-03;[10.834100617302788, 10.544557041592068, 10.126951853434244, 9.762370374467638, 7.575229416290919];[10.833633846706814, 10.531812773810493, 10.107685407002768, 9.770550780826145, 7.627165229784118]
goldfish-models/cym_latn_5mb;33;9;33;Wnaeth;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;SM;MS;inflected_zero_trigger;Gwnaeth;Gwnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;no_mutation;7,57522941629092;7,24030964407656;-3,34919772214360e-01;0;0,00000000000000e+00;[10.834100617302788, 10.544557041592068, 10.126951853434244, 9.762370374467638, 7.575229416290919];[10.834132883283827, 10.554527282714844, 10.086899121602377, 9.658878644307455, 7.240309644076559]
goldfish-models/cym_latn_5mb;34;9;34;wireddu;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;SM;MS;direct_object_mutation;gwireddu;Wnaeth Dafydd gwireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;no_mutation;7,57522941629092;7,63327549397945;5,80460776885348e-02;1;3,81668533698770e-03;[10.834100617302788, 10.544557041592068, 10.126951853434244, 9.762370374467638, 7.575229416290919];[10.832616329193115, 10.559600565168592, 10.138361401028103, 9.79052726427714, 7.633275493979454]
goldfish-models/cym_latn_5mb;35;9;35;phasio;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;AM;L;a;pasio;Wnaeth Dafydd wireddu breuddwyd a pasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;no_mutation;7,57522941629092;7,42303899261687;-1,52190423674054e-01;0;0,00000000000000e+00;[10.834100617302788, 10.544557041592068, 10.126951853434244, 9.762370374467638, 7.575229416290919];[10.82109022140503, 10.492040051354302, 10.068512651655409, 9.736051109102037, 7.423038992616865]
goldfish-models/cym_latn_5mb;36;9;36;chael;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;AM;L;a;cael;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a cael gyrru bws ei hun.;no_mutation;7,57522941629092;7,83195041616758;2,56720999876658e-01;1;1,66624263926498e-02;[10.834100617302788, 10.544557041592068, 10.126951853434244, 9.762370374467638, 7.575229416290919];[10.822940720452202, 10.545319610171848, 10.150728119744194, 9.804698652691311, 7.831950416167577]
goldfish-models/cym_latn_5mb;37;10;37;canolfan;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;no_mutation;no_mutation;no_mutation;ganolfan;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor ganolfan newydd.;SM;5,07673326432705;5,06561644971371;-1,11168146133425e-02;0;0,00000000000000e+00;[10.780477571487427, 10.29862060546875, 9.593578958511353, 8.791928052902222, 5.076733264327049];[10.778175830841064, 10.278857421875, 9.566595268249511, 8.7618257522583, 5.065616449713707]
goldfish-models/cym_latn_5mb;38;10;38;tyfu;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;no_mutation;no_mutation;no_mutation;thyfu;Mae prosiect Hwb y Gors wedi thyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;AM;5,07673326432705;5,36460410356522;2,87870839238167e-01;1;2,75703034099239e-02;[10.780477571487427, 10.29862060546875, 9.593578958511353, 8.791928052902222, 5.076733264327049];[10.79299030303955, 10.350343894958495, 9.599815464019775, 8.787545466423035, 5.364604103565216]
goldfish-models/cym_latn_5mb;39;10;39;thyfu;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;AM;L;a;tyfu;Mae prosiect Hwb y Gors wedi tyfu a tyfu, ac maen nhw bellach wedi agor canolfan newydd.;no_mutation;5,07673326432705;5,16316485852003;8,64315941929821e-02;1;8,44066934612736e-03;[10.780477571487427, 10.29862060546875, 9.593578958511353, 8.791928052902222, 5.076733264327049];[10.767566537857055, 10.277977657318115, 9.655600976943969, 8.949912643432617, 5.163164858520031]
goldfish-models/cym_latn_5mb;40;11;40;poeni;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;no_mutation;no_mutation;no_mutation;boeni;Mae rhai wedi cwestiynu faint sy'n boeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;SM;4,37941169048901;4,60013004509663;2,20718354607622e-01;1;2,45801357248469e-02;[10.765525570622197, 10.260790824890137, 9.45948311134621, 8.528651855610034, 4.379411690489009];[10.76829758396855, 10.284978195473, 9.471259435017904, 8.560735402283845, 4.600130045096631]
goldfish-models/cym_latn_5mb;41;11;41;chostau;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;AM;L;gyda;costau;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda costau byw'n dominyddu'r sgyrsiau.;no_mutation;4,37941169048901;4,62795271896399;2,48541028474981e-01;1;2,75930912947348e-02;[10.765525570622197, 10.260790824890137, 9.45948311134621, 8.528651855610034, 4.379411690489009];[10.760602767650898, 10.279589432936449, 9.530997276306152, 8.641028532615074, 4.62795271896399]
goldfish-models/cym_latn_5mb;42;12;42;nwyrain;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;NM;L;yn;dwyrain;Mae Capel Jewin yn dwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;no_mutation;4,93251202195883;5,31918816981108;3,86676147852255e-01;1;3,77182458147459e-02;[10.72142967224121, 10.186687393188476, 9.514767608642579, 8.896289882659913, 4.932512021958828];[10.741580714350162, 10.220985288205354, 9.590261003245478, 8.99987558696581, 5.319188169811083]
goldfish-models/cym_latn_5mb;43;12;43;gapeli;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;SM;L;ychydig;capeli;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig capeli Cymraeg sydd ar ôl yn y ddinas.;no_mutation;4,93251202195883;4,81684956163168;-1,15662460327148e-01;0;0,00000000000000e+00;[10.72142967224121, 10.186687393188476, 9.514767608642579, 8.896289882659913, 4.932512021958828];[10.71871696472168, 10.188867950439453, 9.511541709899902, 8.911991291046142, 4.816849561631679]
