sent_id	sentence	sentence_en	mutated_word	lemma	mutation_type	token_id	pos	dep_rel	features	verb_form	previous_word	previous_lemma	prev_pos	prev_features	before_previous_word	head_id	head_form	head_pos	head_feats	head_gender	head_number	trigger_type	specific_trigger
cy_ccg_train:00106	Felly gwnewch yn si?r eich bod yn ailgylchu batris yn gywir (mae blychau penodol mewn archfarchnadoedd yn aml iawn), neu'n well fyth defnyddiwch fatris aildrydanadwy sy'n arbed tipyn o arian a lleihau gwastraff dros amser.	So make sure you recycle batteries correctly (there are often specific boxes in supermarkets), or better still use rechargeable batteries that save a lot of money and reduce waste over time.	fyth	byth	SM	26	ADV	advmod	{'Mutation': 'SM'}		well	da	ADJ	{'Degree': 'Pos', 'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	'n	27	defnyddiwch	VERB	{'Mood': 'Ind', 'Number': 'Plur', 'Person': '2', 'Tense': 'Fut', 'VerbForm': 'Fin'}		Plur	MS	adverbs_time_place_manner
cy_ccg_train:00271	Ailadroddaf y cwestiwn penodol y bu ichi ei osgoi, fel y gwnewch bob tro.	I repeat the specific question that you avoided, as you always do.	bob	pob	SM	15	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		gwnewch	gwneud	VERB	{'Mood': 'Ind', 'Number': 'Plur', 'Person': '2', 'Tense': 'Fut', 'VerbForm': 'Fin'}	y	16	bob	ADJ	{'Degree': 'Pos', 'Mutation': 'SM'}			MS	adverbs_time_place_manner
cy_ccg_train:00464	Mae mwy ohono'n cael ei greu fin nos nac yn y bore.	More of it is created in the evening than in the morning.	fin	min	SM	9	NOUN	advcl	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		greu	creu	NOUN	{'Mutation': 'SM', 'Number': 'Sing', 'VerbForm': 'Vnoun'}	ei	8	ei	PRON	{'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:00505	Gallu crymus fu gwladgarwch erioed, ac er daioni bob amser.	Patriotism has always been a powerful force, and always for good.	bob	pob	SM	10	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		daioni	daioni	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	er	11	amser	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:00676	Bob mis mae ein timau'n ysgrifennu blog am y llefydd arbennig maen nhw'n gofalu amdanyn nhw.	Each month our teams write a blog about the special places they care for.	Bob	pob	SM	1	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}							2	mis	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:00752	Ganol fis Mawrth ymddangosodd baner y Ddraig Goch yn y gysgodfa ar gopa Moel Eilio.	In mid-March the Red Dragon flag appeared in the shelter on the summit of Moel Eilio.	Ganol	canol	SM	1	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}							2	fis	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:00798	Yna dilyn llwybr hudolus, llawn garlleg gwyllt cyn ymuno â'r lôn i Drefor... a gweld lle 'roeddan ni'n mynd drennydd: sef Bwlch yr Eifl.	Then follow a magical path, full of wild garlic before joining the lane to Drefor... and see where we were headed: Bwlch yr Eifl.	drennydd	trennydd	SM	27	ADV	advmod	{'Mutation': 'SM'}		mynd	mynd	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}	'n	26	'n	AUX				MS	adverbs_time_place_manner
cy_ccg_train:00869	Bu farw dyn deugain oed dridiau ar ôl iddo gael ei drywanu yng Nghaeredin.	A forty-year-old man died three days after he was stabbed in Edinburgh.	dridiau	tridiau	SM	6	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Plur'}		oed	oed	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	deugain	11	e	PRON	{'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:00904	Dro arall ddaru o ffeindio brân ifanc wedi hanner boddi.	Another time I happened to find a young crow half drowned.	Dro	tro	SM	1	NOUN	obl	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}							3	ddaru	VERB	{'Mood': 'Ind', 'Mutation': 'SM', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}		Sing	MS	adverbs_time_place_manner
cy_ccg_train:00948	Hefyd, dylech bob amser wisgo menig wrth drin gwrthrychau.	Also, you should always wear gloves when handling objects.	bob	pob	SM	4	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		dylech	dylu	VERB	{'Mood': 'Cnd', 'Number': 'Plur', 'Person': '2', 'Tense': 'Imp', 'VerbForm': 'Fin'}	,	5	amser	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:01013	Wrth i fi fyw yn Lloegr a gwrando bob dydd ar Radio Cymru, mae'n hawdd twyllo fy hun i feddwl bod Cymru'n wlad uniaith Gymraeg	As I live in England and listen to Radio Cymru every day, it is easy to deceive myself into thinking that Wales is a mono-Welsh speaking country	bob	pob	SM	9	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		gwrando	gwrando	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}	a	10	dydd	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:01085	Mae'r rhain yn cynnwys rhoddion ar-lein, ymuno â Loteri Achub Bywydau'r Elusen neu drwy feddwl am eu ffyrdd arloesol eu hunain o godi arian gartref.	These include online donations, joining the Charity's Life Saving Lottery or by thinking of their own innovative ways to raise money at home.	gartref	cartref	SM	28	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		arian	arian	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	godi	27	arian	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_train:01089	Teithiodd sawl un o'r ysgol draw i safle braf yr eisteddfod yn Nyffryn Clwyd i gystadlu.	Several of the school traveled over to the nice site of the eisteddfod in Dyffryn Clwyd to compete.	draw	traw	SM	7	ADV	advmod	{'Mutation': 'SM'}		ysgol	ysgol	NOUN	{'Gender': 'Fem', 'Number': 'Sing'}	'r	9	safle	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	lexicalised
cy_ccg_train:01109	Traddodwyd y ddarlith radio hon ddeng mlynedd yn ôl.	This radio lecture was delivered ten years ago.	ddeng	deg	SM	6	NUM	nummod	{'Mutation': 'SM', 'NumForm': 'Word', 'NumType': 'Card'}		hon	hon	PRON	{'Gender': 'Fem', 'PronType': 'Dem'}	radio	7	mlynedd	NOUN	{'Gender': 'Fem', 'Mutation': 'NM', 'Number': 'Plur'}	Fem	Plur	MS	adverbs_time_place_manner
cy_ccg_train:01126	Dydy hyn ddim yn fater yn erbyn unigolion, mae'n egwyddor y dyliau staff sefydliad sy'n fonopoli gwladol fel Swyddfa'r Post, ddeall peth geiriau syml Cymraeg ac yn enwedig rhai sylfaenol yn eu busnes.Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion gwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch.		gwbl	cwbl	SM	14	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		arwyddion	arwydd	NOUN	{'Gender': 'Masc', 'Number': 'Plur'}	codi	13	codi	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	adverbs_time_place_manner
cy_ccg_train:01238	"Cynhelir tri reid yn ddyddiol a rhai at ddant pawb; un ben bore cyn bwrlwm y dydd, un mwy cymdeithasol ac un mwy heriol."		ben	pen	SM	13	NOUN	obl	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		un	un	NUM	{'NumForm': 'Word', 'NumType': 'Card'}	";"	1	Cynhelir	VERB	{'Mood': 'Ind', 'Person': '0', 'Tense': 'Fut', 'VerbForm': 'Fin'}			MS	adverbs_time_place_manner
cy_ccg_dev:00003	Wrth i'r byd go iawn droi'n wirionach bob dydd, mae'n wir bod dychan yn mynd yn anos.	As the real world gets tighter every day, it is true that satire is getting harder.	bob	pob	SM	10	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		wirionach	gwirion	ADJ	{'Degree': 'Cmp', 'Mutation': 'SM'}	'n	11	dydd	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_dev:00033	Ar ôl cyfnod yn yr ysgol leol gweithiodd gartref ar fferm ei dad.	After a time at the local school he worked at home on his father's farm.	gartref	cartref	SM	9	NOUN	obl	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		gweithiodd	gweithio	VERB	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}	leol	8	gweithiodd	VERB	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}		Sing	MS	adverbs_time_place_manner
cy_ccg_dev:00043	Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos fod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rai milflynyddau Cyn Crist.	It is an ancient musical instrument referred to in the Bible, in old medieval Welsh manuscripts and other early sources, and there is archaeological evidence that harps were found in Mesopotamia in the time of the Sumer civilization, some millennia before Christ.	rai	rhai	SM	43	NOUN	conj	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Plur'}		,	,	PUNCT		Sumer	39	yng	ADP				MS	adverbs_time_place_manner
cy_ccg_dev:00130	Roedd yn hanu'n wreiddiol o Lanberis yng Ngwynedd, ond bu'n byw am flynyddoedd lawer yng Ngwaelod-y-garth ger Caerdydd.	He was originally from Llanberis in Gwynedd, but lived for many years in Gwaelod-y-garth near Cardiff.	lawer	llawer	SM	18	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		flynyddoedd	blwyddyn	NOUN	{'Gender': 'Fem', 'Mutation': 'SM', 'Number': 'Plur'}	am	17	am	ADP				MS	adverbs_time_place_manner
cy_ccg_dev:00378	Mae'n dangos sut y gallwn ddysgu oddi wrth ein gilydd ac yn pwysleisio cryfder a pherthnasedd cynyddol ein hieithoedd mewn byd gynyddol ddigidol.	It shows how we can learn from each other and emphasizes the growing strength and relevance of our languages in an increasingly digital world.	gynyddol	cynyddol	SM	23	ADJ	amod	{'Degree': 'Pos', 'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		byd	byd	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	mewn	22	byd	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_dev:00380	Mae gan Gymru a'r Iwerddon orffennol ddiwylliannol gerddorol hynod gyfoethog, ond bob hyn a hyn, mae gofyn i ni fentro a thrio pethau newydd.	Wales and Ireland have a very rich musical cultural past, but every now and then we need to take risks and try new things.	bob	pob	SM	14	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		ond	ond	CCONJ		,	15	hyn	PRON	{'Number': 'Plur', 'PronType': 'Dem'}		Plur	MS	adverbs_time_place_manner
cy_ccg_dev:00382	Yn hytrach, rydym wedi rhyddhau fersiwn o gân gyfredol – a hynny mewn arddull sydd i'w chlywed bob dydd.	Instead, we have released a version of a current song - in a style that is heard every day.	bob	pob	SM	21	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		chlywed	clywed	NOUN	{'Mutation': 'AM', 'Number': 'Sing', 'VerbForm': 'Vnoun'}	'w	22	bob	ADJ	{'Degree': 'Pos', 'Mutation': 'SM'}			MS	adverbs_time_place_manner
cy_ccg_test:00032	Adawes i'm sgidiau fi rywle fan hyn, dw i'n si?r.	I let my shoes go somewhere, I'm sure.	rywle	rhywle	SM	6	ADV	advmod	{'Mutation': 'SM'}		fi	i	PRON	{'Number': 'Sing', 'Person': '1', 'PronType': 'Prs'}	sgidiau	1	Adawes	VERB	{'Mood': 'Ind', 'Mutation': 'SM', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}		Sing	MS	adverbs_time_place_manner
cy_ccg_test:00043	Fydd Caryl wedi ffonio drwodd erbyn hon?	Will Caryl have phoned through by now?	drwodd	trwodd	SM	5	ADV	advmod	{'Mutation': 'SM'}		ffonio	ffonio	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}	wedi	4	ffonio	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	adverbs_time_place_manner
cy_ccg_test:00118	Fodd bynnag, bum mis ers ei hagor, mae'r awdurdod wedi bygwth troi rhai o'r perchnogion busnes allan, onibai eu bod yn arwyddo cytundebau erbyn 17:00 ddydd Mercher.	However, five months after it opened, the authority has threatened to evict some business owners, unless they sign contracts by 17:00 on Wednesday.	bum	pump	SM	4	NUM	nummod	{'Mutation': 'SM', 'NumForm': 'Word', 'NumType': 'Card'}		,	,	PUNCT		bynnag	5	mis	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_test:00200	Yn ddigon naturiol mae bwyta yn rhan bwysig o bob gwyliau a phob taith tramor.	Naturally eating is an important part of every holiday and every overseas trip.	ddigon	digon	SM	2	ADV	advmod	{'Mutation': 'SM'}		Yn	yn	PART			3	naturiol	ADJ	{'Degree': 'Pos'}			MS	yn_complement_adj_noun
cy_ccg_test:00392	Rwy bob amser wedi gwerthfawrogi'r berthynas dda rhyngof fi a fy nghymuned Iddewig leol, ac rwy'n ymddiheuro am ypsetio unrhyw etholwyr a'r gymuned Iddewig ehangach yn sgil fy sylwadau.	I have always appreciated the good relationship between myself and my local Jewish community, and I apologize for upsetting any constituents and the wider Jewish community in the light of my comments.	bob	pob	SM	3	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		wy	bod	VERB	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}	yr	4	bob	ADJ	{'Degree': 'Pos', 'Mutation': 'SM'}			MS	adverbs_time_place_manner
cy_ccg_test:00547	Ceisiwn sicrhau nid yn unig bod y disgyblion yn gyfan gwbl ddwyieithog pan fyddant yn gadael yr ysgol, ond hefyd eu bod yn ymwybodol o'u Cymreictod ac yn ymfalchïo ynddo.	We try to ensure that not only are pupils fully bilingual when they leave school, but also that they are aware of and proud of their Welshness.	gwbl	cwbl	SM	11	ADJ	advmod	{'Degree': 'Pos', 'Mutation': 'SM'}		gyfan	cyfan	ADJ	{'Degree': 'Pos', 'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	yn	12	ddwyieithog	ADJ	{'Degree': 'Pos', 'Mutation': 'SM'}			MS	adverbs_time_place_manner
cy_ccg_test:00729	nid yw'n rhywbeth newydd fod yn cael ei dargedu gan hacwyr bob dydd.	it is not something new being targeted by hackers every day.	bob	pob	SM	13	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		hacwyr	hacwr	NOUN	{'Gender': 'Masc', 'Number': 'Plur'}	gan	14	dydd	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adverbs_time_place_manner
cy_ccg_test:00736	Byddai'r swyddog gwrol hwn, a oedd heb ei gomisiynu, yn mynd allan drosodd a throsodd o dan danio trwm gan ddod â'r anafedig yn ôl i ddiogelwch, gan achub llawer o fywydau felly.	This non-commissioned officer would go out and over again under heavy firing bringing the wounded back to safety, thus saving many lives.	drosodd	trosodd	SM	16	ADV	advmod	{'Mutation': 'SM'}		allan	allan	ADV		mynd	14	mynd	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	adverbs_time_place_manner
cy_ccg_test:00803	Fel rwyf wedi dweud droeon ar y blog, bydd Rhagluniaeth, yn weddol reolaidd, yn gyrru pethau i geisio gwylltio'r Cymry a'u deffro i wneud rhywbeth ohoni.	As I've said many times on the blog, Targetism, quite regularly, will drive things to try and intimidate the Welsh and wake them up to make something of it.	reolaidd	rheolaidd	SM	16	ADJ	amod	{'Degree': 'Pos', 'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		weddol	gweddol	ADJ	{'Degree': 'Pos', 'Mutation': 'SM'}	yn	11	,	PUNCT				MS	adverbs_time_place_manner
cy_ccg_train:00162	"Fe fu John Davies yn ymgyrchu yn ardal Clydach gyda Bethan Sayed ddoe (dydd Sadwrn, Rhagfyr 7), gan rybuddio am ""ddiffyg gweledigaeth"" Llafur a'r Ceidwadwyr."	"John Davies campaigned in the Clydach area with Bethan Sayed yesterday (Saturday, December 7), warning of Labour's and Conservative ""lack of vision""."	ddiffyg	diffyg	SM	26	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		""""	""""	PUNCT		am	23	rybuddio	NOUN	{'Mutation': 'SM', 'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	am_lexical
cy_ccg_train:00834	Chwedl Branwen ferch Ll?r yw'r ail o Bedair Cainc y Mabinogi.	The legend of Branwen daughter of Ll?r is the second of the Four Chains of the Mabinogi.	ferch	merch	SM	3	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		Branwen	Branwen	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	Chwedl	2	Branwen	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	apposition
cy_ccg_train:00835	Mae'r chwedl yn agor gyda Bendigeidfran fab Ll?r yn sefyll ar graig yn Harlech yn edrych tua'r môr, lle gwelir llongau yn dynesu.	The legend opens with Bendigeidfran son of Ll?r standing on a rock in Harlech looking towards the sea, where ships are seen approaching.	fab	mab	SM	8	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		Bendigeidfran	Bendigeidfran	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	gyda	7	Bendigeidfran	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	apposition
cy_ccg_test:00052	Celt-Iberiad oedd Macsen Wledig a ddaeth i ynysoedd Prydain yn y trydedd canrif.	Macsen Wledig was a Celt-Iberiad who came to the British Isles in the third century.	Wledig	Gwledig	SM	6	PROPN	flat:name	{'Mutation': 'SM'}		Macsen	Macsen	PROPN	{'Gender': 'Fem', 'Number': 'Sing'}	oedd	5	Macsen	PROPN	{'Gender': 'Fem', 'Number': 'Sing'}	Fem	Sing	MS	apposition
cy_ccg_test:00311	Pan fu ef farw, rhannwyd ei deyrnas rhwng ei feibion, ond gallodd ei ?yr, Hywel Dda, ffurfio teyrnas Deheubarth trwy uno teyrnasoedd llai'r de-orllewin, ac erbyn 942 roedd yn frenin ar y rhan fwyaf o Gymru.	When he died, his kingdom was divided between his sons, but his grandson, Hywel Dda, was able to form the kingdom of Deheubarth by uniting the smaller kingdoms of the south-west, and by 942 he was king of most of Wales.	Dda	da	SM	19	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		Hywel	Hywel	PROPN		,	18	Hywel	PROPN				MS	apposition
cy_ccg_test:00897	Canodd Iolo Goch farwnad i Ddafydd.	Iolo Goch wrote an elegy to David.	Goch	Coch	SM	3	PROPN	flat:name	{'Mutation': 'SM'}		Iolo	Iolo	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	Canodd	2	Iolo	PROPN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	apposition
cy_ccg_train:00171	"Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd lythyr at Weinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater""."	"According to more documents released through freedom of information requests, in August this year the Commissioner sent a letter to the Welsh Minister boasting that he was conducting fewer complaints investigations and said he was ""grateful"" to the Minister for her ""guidance on the issue ""."	ddiolchgar	diolchgar	SM	41	ADJ	advmod	{'Degree': 'Pos', 'Mutation': 'SM'}		""""	""""	PUNCT		fod	39	fod	NOUN	{'Mutation': 'SM', 'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	bod_lexical
cy_ccg_train:00568	"Bydd Cyngor Dinas Bangor yn neilltuo £5,000 i gefnogi ""Y nyth"", y ganolfan gelfyddydol yn eglwys y Santes Fair."	"Bangor City Council will set aside £5,000 to support ""Y nyth"", the arts center in St Mary's church."	Fair	Mair	SM	23	PROPN	flat	{'Mutation': 'SM'}		Santes	santes	NOUN	{'Gender': 'Fem', 'Number': 'Sing'}	y	22	Santes	NOUN	{'Gender': 'Fem', 'Number': 'Sing'}	Fem	Sing	MS	def_art_fem_sing_noun
